Run_number,number_of_generations,hypervolume,spread,convergence,Execution_time,Number_of_solutions,Fdistance_best_value,Fcapacity_best_value,Fdistance_worst_value,Fcapacity_worst_value,Fdistance_average_value,Fcapacity_average_value
1,310,0.8047449920597375,0.003483837484920477,0.1714973862292978,195.05984330177307,170,63445.0,45.768253968253966,85020.0,69.72539682539684,70458.82352941176,54.173338001867414
2,250,0.8310151375166642,0.003454451055945967,0.14580960316661262,158.31264638900757,170,65112.5,42.78412698412698,91135.0,76.65000000000002,73088.7205882353,54.301031746031754
3,460,0.8025054074253883,0.004829461757824918,0.06873680042167445,300.1778542995453,170,57605.0,42.45079365079364,99980.0,90.73492063492064,70725.5294117647,59.990420168067224
4,220,0.7635295299124096,0.0038904833569787544,0.17486349099041448,145.80681109428406,170,64120.0,44.96349206349205,93430.0,67.7,74495.64705882352,53.15732026143791
5,280,0.8253412310690675,0.004349669688581411,0.11156405541843575,191.82760906219482,170,61715.0,42.167460317460325,99490.0,78.34920634920634,71218.82352941176,55.91008870214752
6,430,0.8008563324076308,0.0030851876493464057,0.11883176638145931,216.12914061546326,170,61845.0,43.94047619047618,92915.0,80.96190476190478,71611.64705882352,57.92465919701214
7,400,0.791343026465238,0.0047171915902139115,0.11398340937680002,142.45794296264648,170,62027.5,43.64682539682539,91870.0,93.2047619047619,71449.01470588235,62.95725490196079
8,310,0.7872425796508277,0.0039604200988828655,0.11399230328941232,224.72191858291626,170,60760.0,43.33888888888888,94800.0,78.38571428571429,72069.58823529411,56.01821195144725
9,280,0.7932528640370644,0.004588639370999472,0.09492368654983037,186.6497287750244,170,59515.0,45.05238095238095,87470.0,93.0,69170.85294117648,61.24179738562092
10,400,0.7988404706716322,0.004941713180205876,0.11064004778300895,144.25887989997864,170,60645.0,46.065079365079356,90170.0,90.4,70616.14705882352,62.16690009337068
